gene_id,gene_name,gene_biotype,description,transcript_id,chrom,start,end,strand,TPU.length,ARE.cts
ENSMUSG00000041722,Khdc1c,protein_coding,KH domain containing 1C [Source:MGI Symbol;Acc:MGI:3583007],ENSMUST00000070223,1,21369728,21370845,+,1118,6
ENSMUSG00000085079,Khdc1b,protein_coding,KH domain containing 1B [Source:MGI Symbol;Acc:MGI:2138477],ENSMUST00000147615,1,21384900,21386373,+,1474,0
ENSMUSG00000028033,Kcnq5,protein_coding,"potassium voltage-gated channel, subfamily Q, member 5 [Source:MGI Symbol;Acc:MGI:1924937]",ENSMUST00000029667,1,21398403,21402162,-,3760,17
ENSMUSG00000041670,Rims1,protein_coding,regulating synaptic membrane exocytosis 1 [Source:MGI Symbol;Acc:MGI:2152971],ENSMUST00000081544,1,22286251,22288421,-,2171,3
ENSMUSG00000073730,4933415F23Rik,protein_coding,"protein phosphatase 1, regulatory inhibitor subunit 14B like [Source:MGI Symbol;Acc:MGI:1914005]",ENSMUST00000073179,1,23100473,23101769,-,1297,3
ENSMUSG00000026158,Ogfrl1,protein_coding,opioid growth factor receptor-like 1 [Source:MGI Symbol;Acc:MGI:1917405],ENSMUST00000027343,1,23366424,23369748,-,3325,13
ENSMUSG00000026156,B3gat2,protein_coding,"beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S) [Source:MGI Symbol;Acc:MGI:2389490]",ENSMUST00000063663,1,23845188,23849158,+,3971,10
ENSMUSG00000026155,Smap1,protein_coding,small ArfGAP 1 [Source:MGI Symbol;Acc:MGI:2138261],ENSMUST00000027339,1,23845625,23846428,-,804,2
ENSMUSG00000026154,Sdhaf4,protein_coding,succinate dehydrogenase complex assembly factor 4 [Source:MGI Symbol;Acc:MGI:1915252],ENSMUST00000027338,1,23995939,23996250,-,312,2
ENSMUSG00000026153,Fam135a,protein_coding,"family with sequence similarity 135, member A [Source:MGI Symbol;Acc:MGI:1915437]",ENSMUST00000187619,1,24011093,24012291,-,1199,12
ENSMUSG00000026147,Col9a1,protein_coding,"collagen, type IX, alpha 1 [Source:MGI Symbol;Acc:MGI:88465]",ENSMUST00000054588,1,24251862,24252684,+,823,7
ENSMUSG00000026141,Col19a1,protein_coding,"collagen, type XIX, alpha 1 [Source:MGI Symbol;Acc:MGI:1095415]",ENSMUST00000115244,1,24263994,24264689,-,696,7
ENSMUSG00000073725,Lmbrd1,protein_coding,LMBR1 domain containing 1 [Source:MGI Symbol;Acc:MGI:1915671],ENSMUST00000095062,1,24762737,24766301,+,3565,11
ENSMUSG00000033569,Adgrb3,protein_coding,adhesion G protein-coupled receptor B3 [Source:MGI Symbol;Acc:MGI:2441837],ENSMUST00000126626,1,25067476,25068167,-,692,5
ENSMUSG00000073722,4931408C20Rik,protein_coding,RIKEN cDNA 4931408C20 gene [Source:MGI Symbol;Acc:MGI:3588222],ENSMUST00000097801,1,26681814,26681951,-,138,0
ENSMUSG00000048411,Gm597,protein_coding,predicted gene 597 [Source:MGI Symbol;Acc:MGI:2685443],ENSMUST00000059937,1,28776117,28776258,-,142,0
ENSMUSG00000048874,Phf3,protein_coding,PHD finger protein 3 [Source:MGI Symbol;Acc:MGI:2446126],ENSMUST00000191329,1,30803546,30806148,-,2603,7
ENSMUSG00000117310,Ptp4a1,protein_coding,protein tyrosine phosphatase 4a1 [Source:MGI Symbol;Acc:MGI:1277096],ENSMUST00000233506,1,30940302,30943323,-,3022,20
ENSMUSG00000026064,Ptp4a1,protein_coding,protein tyrosine phosphatase 4a1 [Source:MGI Symbol;Acc:MGI:1277096],ENSMUST00000232841,1,30940302,30943205,-,2904,20
ENSMUSG00000086727,4931428L18Rik,protein_coding,RIKEN cDNA 4931428L18 gene [Source:MGI Symbol;Acc:MGI:1918238],ENSMUST00000233331,1,30997842,30998182,-,341,0
ENSMUSG00000050217,Lgsn,protein_coding,"lengsin, lens protein with glutamine synthetase domain [Source:MGI Symbol;Acc:MGI:2672844]",ENSMUST00000161773,1,31203393,31204725,+,1333,1
ENSMUSG00000026063,Pih1d3,protein_coding,PIH1 domain containing 3 [Source:MGI Symbol;Acc:MGI:1921958],ENSMUST00000027230,1,31223596,31224288,+,693,8
ENSMUSG00000026058,Khdrbs2,protein_coding,"KH domain containing, RNA binding, signal transduction associated 2 [Source:MGI Symbol;Acc:MGI:2159649]",ENSMUST00000188257,1,32333829,32338354,+,4526,21
ENSMUSG00000091318,Gm5415,protein_coding,predicted gene 5415 [Source:MGI Symbol;Acc:MGI:3644687],ENSMUST00000171322,1,32543686,32545390,-,1705,4
ENSMUSG00000026134,Prim2,protein_coding,"DNA primase, p58 subunit [Source:MGI Symbol;Acc:MGI:97758]",ENSMUST00000027312,1,33453810,33454085,-,276,1
ENSMUSG00000004768,Rab23,protein_coding,"RAB23, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:99833]",ENSMUST00000088287,1,33739393,33742564,+,3172,9
ENSMUSG00000042215,Bag2,protein_coding,BCL2-associated athanogene 2 [Source:MGI Symbol;Acc:MGI:1891254],ENSMUST00000044691,1,33745484,33746606,-,1123,4
ENSMUSG00000042197,Zfp451,protein_coding,zinc finger protein 451 [Source:MGI Symbol;Acc:MGI:2137896],ENSMUST00000044455,1,33792136,33802119,-,9984,37
ENSMUSG00000042182,Bend6,protein_coding,BEN domain containing 6 [Source:MGI Symbol;Acc:MGI:2444572],ENSMUST00000129464,1,33852052,33853358,-,1307,4
ENSMUSG00000026131,Dst,protein_coding,dystonin [Source:MGI Symbol;Acc:MGI:104627],ENSMUST00000182314,1,34135381,34137136,+,1756,1
ENSMUSG00000042111,Ccdc115,protein_coding,coiled-coil domain containing 115 [Source:MGI Symbol;Acc:MGI:1916918],ENSMUST00000042493,1,34436670,34437497,-,828,0
ENSMUSG00000026127,Imp4,protein_coding,"IMP4, U3 small nucleolar ribonucleoprotein [Source:MGI Symbol;Acc:MGI:106572]",ENSMUST00000027303,1,34444471,34449356,+,4886,6
ENSMUSG00000026126,Ptpn18,protein_coding,"protein tyrosine phosphatase, non-receptor type 18 [Source:MGI Symbol;Acc:MGI:108410]",ENSMUST00000027302,1,34473647,34473784,+,138,0
ENSMUSG00000026125,Prss39,protein_coding,"protease, serine 39 [Source:MGI Symbol;Acc:MGI:1270856]",ENSMUST00000027299,1,34502948,34503063,+,116,0
ENSMUSG00000026124,Cfc1,protein_coding,"cripto, FRL-1, cryptic family 1 [Source:MGI Symbol;Acc:MGI:109448]",ENSMUST00000027298,1,34544138,34544313,+,176,0
ENSMUSG00000037529,Prss40,protein_coding,"protease, serine 40 [Source:MGI Symbol;Acc:MGI:1270857]",ENSMUST00000190790,1,34552334,34552678,-,345,1
ENSMUSG00000045174,Amer3,protein_coding,APC membrane recruitment 3 [Source:MGI Symbol;Acc:MGI:3026939],ENSMUST00000052670,1,34589025,34590944,+,1920,2
ENSMUSG00000037509,Arhgef4,protein_coding,Rho guanine nucleotide exchange factor (GEF) 4 [Source:MGI Symbol;Acc:MGI:2442507],ENSMUST00000047664,1,34811830,34813309,+,1480,1
ENSMUSG00000037503,Fam168b,protein_coding,"family with sequence similarity 168, member B [Source:MGI Symbol;Acc:MGI:2448487]",ENSMUST00000167518,1,34813219,34817404,-,4186,4
ENSMUSG00000026123,Plekhb2,protein_coding,"pleckstrin homology domain containing, family B (evectins) member 2 [Source:MGI Symbol;Acc:MGI:2385825]",ENSMUST00000156687,1,34869492,34873956,+,4465,14
ENSMUSG00000045216,Hs6st1,protein_coding,heparan sulfate 6-O-sulfotransferase 1 [Source:MGI Symbol;Acc:MGI:1354958],ENSMUST00000088174,1,36104222,36106446,+,2225,5
ENSMUSG00000037470,Uggt1,protein_coding,UDP-glucose glycoprotein glucosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2443162],ENSMUST00000046875,1,36140027,36144225,-,4199,4
ENSMUSG00000047180,Neurl3,protein_coding,neuralized E3 ubiquitin protein ligase 3 [Source:MGI Symbol;Acc:MGI:2429944],ENSMUST00000056946,1,36264597,36266359,-,1763,1
ENSMUSG00000037447,Arid5a,protein_coding,AT rich interactive domain 5A (MRF1-like) [Source:MGI Symbol;Acc:MGI:2443039],ENSMUST00000137906,1,36320204,36324029,+,3826,3
ENSMUSG00000010453,Kansl3,protein_coding,KAT8 regulatory NSL complex subunit 3 [Source:MGI Symbol;Acc:MGI:1918055],ENSMUST00000185912,1,36335730,36337630,-,1901,1
ENSMUSG00000037432,Fer1l5,protein_coding,fer-1-like 5 (C. elegans) [Source:MGI Symbol;Acc:MGI:3616091],ENSMUST00000179162,1,36421910,36422107,+,198,0
ENSMUSG00000001143,Lman2l,protein_coding,"lectin, mannose-binding 2-like [Source:MGI Symbol;Acc:MGI:2443010]",ENSMUST00000125304,1,36422065,36424360,-,2296,2
ENSMUSG00000037408,Cnnm4,protein_coding,cyclin M4 [Source:MGI Symbol;Acc:MGI:2151060],ENSMUST00000153128,1,36506607,36508764,+,2158,2
ENSMUSG00000001138,Cnnm3,protein_coding,cyclin M3 [Source:MGI Symbol;Acc:MGI:2151055],ENSMUST00000097776,1,36525166,36528237,+,3072,1
ENSMUSG00000067653,Ankrd23,protein_coding,ankyrin repeat domain 23 [Source:MGI Symbol;Acc:MGI:1925571],ENSMUST00000193083,1,36530188,36531545,-,1358,0
ENSMUSG00000109510,Gm42417,protein_coding,"predicted gene, 42417 [Source:MGI Symbol;Acc:MGI:5649003]",ENSMUST00000191849,1,36530193,36531545,-,1353,0
ENSMUSG00000079610,Ankrd39,protein_coding,ankyrin repeat domain 39 [Source:MGI Symbol;Acc:MGI:1914816],ENSMUST00000001172,1,36538094,36539390,-,1297,1
ENSMUSG00000026121,Sema4c,protein_coding,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C [Source:MGI Symbol;Acc:MGI:109252]",ENSMUST00000191677,1,36548639,36549538,-,900,4
ENSMUSG00000046337,Fam178b,protein_coding,"family with sequence similarity 178, member B [Source:MGI Symbol;Acc:MGI:3026913]",ENSMUST00000170295,1,36562692,36562987,-,296,0
ENSMUSG00000061518,Cox5b,protein_coding,cytochrome c oxidase subunit 5B [Source:MGI Symbol;Acc:MGI:88475],ENSMUST00000193210,1,36693310,36693681,+,372,0
ENSMUSG00000037351,Actr1b,protein_coding,"ARP1 actin-related protein 1B, centractin beta [Source:MGI Symbol;Acc:MGI:1917446]",ENSMUST00000043951,1,36698114,36700075,-,1962,3
ENSMUSG00000102416,4933424G06Rik,protein_coding,RIKEN cDNA 4933424G06 gene [Source:MGI Symbol;Acc:MGI:1918416],ENSMUST00000208994,1,36757790,36757953,+,164,0
ENSMUSG00000026117,Zap70,protein_coding,zeta-chain (TCR) associated protein kinase [Source:MGI Symbol;Acc:MGI:99613],ENSMUST00000027291,1,36782585,36782818,+,234,0
ENSMUSG00000026116,Tmem131,protein_coding,transmembrane protein 131 [Source:MGI Symbol;Acc:MGI:1927110],ENSMUST00000027290,1,36792191,36792920,-,730,4
ENSMUSG00000050122,Vwa3b,protein_coding,von Willebrand factor A domain containing 3B [Source:MGI Symbol;Acc:MGI:1918103],ENSMUST00000117172,1,37076489,37076996,+,508,1
ENSMUSG00000026114,Cnga3,protein_coding,cyclic nucleotide gated channel alpha 3 [Source:MGI Symbol;Acc:MGI:1341818],ENSMUST00000027288,1,37262097,37263384,+,1288,1
ENSMUSG00000026113,Inpp4a,protein_coding,"inositol polyphosphate-4-phosphatase, type I [Source:MGI Symbol;Acc:MGI:1931123]",ENSMUST00000027287,1,37408260,37410736,+,2477,9
ENSMUSG00000026112,Coa5,protein_coding,cytochrome C oxidase assembly factor 5 [Source:MGI Symbol;Acc:MGI:1923428],ENSMUST00000027286,1,37417084,37420585,-,3502,9
ENSMUSG00000026111,Unc50,protein_coding,unc-50 homolog [Source:MGI Symbol;Acc:MGI:1914637],ENSMUST00000027285,1,37438819,37439124,+,306,3
ENSMUSG00000026110,Mgat4a,protein_coding,"mannoside acetylglucosaminyltransferase 4, isoenzyme A [Source:MGI Symbol;Acc:MGI:2662992]",ENSMUST00000151952,1,37439340,37444658,-,5319,8
ENSMUSG00000026090,2010300C02Rik,protein_coding,RIKEN cDNA 2010300C02 gene [Source:MGI Symbol;Acc:MGI:1919347],ENSMUST00000160023,1,37611677,37612256,-,580,1
ENSMUSG00000060771,Tsga10,protein_coding,testis specific 10 [Source:MGI Symbol;Acc:MGI:2685063],ENSMUST00000123082,1,37832403,37835077,-,2675,8
ENSMUSG00000037216,Lipt1,protein_coding,lipoyltransferase 1 [Source:MGI Symbol;Acc:MGI:3645211],ENSMUST00000041621,1,37875987,37876228,+,242,0
ENSMUSG00000026088,Mitd1,protein_coding,"MIT, microtubule interacting and transport, domain containing 1 [Source:MGI Symbol;Acc:MGI:1916278]",ENSMUST00000027257,1,37878888,37879267,-,380,2
ENSMUSG00000026087,Mrpl30,protein_coding,mitochondrial ribosomal protein L30 [Source:MGI Symbol;Acc:MGI:1333820],ENSMUST00000027256,1,37898265,37898535,+,271,1
ENSMUSG00000061584,Lyg2,protein_coding,lysozyme G-like 2 [Source:MGI Symbol;Acc:MGI:2685622],ENSMUST00000078307,1,37905923,37907556,-,1634,3
ENSMUSG00000026085,Lyg1,protein_coding,lysozyme G-like 1 [Source:MGI Symbol;Acc:MGI:1916791],ENSMUST00000027254,1,37946736,37946884,-,149,0
ENSMUSG00000058407,Txndc9,protein_coding,thioredoxin domain containing 9 [Source:MGI Symbol;Acc:MGI:2138153],ENSMUST00000193832,1,37987394,37990198,-,2805,11
ENSMUSG00000026083,Eif5b,protein_coding,eukaryotic translation initiation factor 5B [Source:MGI Symbol;Acc:MGI:2441772],ENSMUST00000027252,1,38051714,38055579,+,3866,9
ENSMUSG00000026082,Rev1,protein_coding,"REV1, DNA directed polymerase [Source:MGI Symbol;Acc:MGI:1929074]",ENSMUST00000027251,1,38052786,38053086,-,301,2
ENSMUSG00000037138,Aff3,protein_coding,"AF4/FMR2 family, member 3 [Source:MGI Symbol;Acc:MGI:106927]",ENSMUST00000095027,1,38177326,38179448,-,2123,4
ENSMUSG00000048814,Lonrf2,protein_coding,LON peptidase N-terminal domain and ring finger 2 [Source:MGI Symbol;Acc:MGI:1920209],ENSMUST00000147695,1,38793645,38798028,-,4384,12
ENSMUSG00000026080,Chst10,protein_coding,carbohydrate sulfotransferase 10 [Source:MGI Symbol;Acc:MGI:2138283],ENSMUST00000193441,1,38863867,38867976,-,4110,2
ENSMUSG00000067604,Nms,protein_coding,neuromedin S [Source:MGI Symbol;Acc:MGI:3583618],ENSMUST00000088029,1,38949883,38950276,+,394,2
ENSMUSG00000026078,Pdcl3,protein_coding,phosducin-like 3 [Source:MGI Symbol;Acc:MGI:1916083],ENSMUST00000027247,1,38996284,38997238,+,955,4
ENSMUSG00000026077,Npas2,protein_coding,neuronal PAS domain protein 2 [Source:MGI Symbol;Acc:MGI:109232],ENSMUST00000056815,1,39362008,39363236,+,1229,1
ENSMUSG00000073702,Rpl31,protein_coding,ribosomal protein L31 [Source:MGI Symbol;Acc:MGI:2149632],ENSMUST00000086535,1,39371334,39371911,+,578,2
